类型,航班起始日期,航班截止日期,班期,航班号,出发站,到达站,STD,STA,ETD,ETA,机型,机号,dd_flag,飞机,机组,乘务,apt_access,VIP,重点航班,rpl_remark,固定衔接环,专项整治,放区,release_seat,alarm_flag,flt_task,航班类型,调整原因,备注,状态,issue_flag,scen_name,bill_no
变更,2025/6/22 0:00,2025/6/22 0:00,______7,968,MXP,PVG,2025/6/22 18:30,2025/6/23 5:50,2025/6/22 18:30,2025/6/23 5:29,359,B329K,1,列15,本部,本部,n,列19,列20,"航路,时刻,飞机归属,",列22,列23,列24,列25,0,正班,国际,天气原因,因浦东机场受雷雨天气影响，CA968备降南京，航班调整。,拟制,方案,PEK-E-wangmeng-2025-06-23-0600,154210949
新增,2025/6/23 0:00,2025/6/23 0:00,1______,043,FOC,PEK,2025/6/23 13:30,2025/6/23 16:10,2025/6/23 13:30,2025/6/23 16:10,73Q,B225N,0, ,本部, ,n,,,,,,,,0,调机,国内,工程机务,因B225N飞机出现动力组件低压灯亮故障，排故完成调机回京。,拟制,方案,PEK-C-quyifan-2025-06-23-0705,154189179
变更,2025/6/23 0:00,2025/6/23 0:00,1______,071,HGH,PVG,2025/6/23 5:00,2025/6/23 5:30,2025/6/23 5:00,2025/6/23 6:30,32N,B6792,0, ,浙江, ,n,,,"航路,时刻,飞机归属,",,,,,0,调机,国内,天气原因,因浦东机场受雷雨天气影响，CA071返航杭州，航班调整。,拟制,方案,PEK-E-wangmeng-2025-06-23-0636,154210985
取消,2025/6/23 0:00,2025/6/23 0:00,1______,071,HGH,PVG,2025/6/23 7:45,2025/6/23 8:53,2025/6/23 7:45,2025/6/23 8:53,32N,B6792,0,浙江,浙江, ,n,0,,,0,,沪,OMIS-N5,0,调机,国内,天气原因,因浦东机场受雷雨天气影响，CA071返航杭州，试飞科目完成，后续航班取消，不补。,拟制,方案,PEK-E-wangmeng-2025-06-23-0703,154211230
新增,2025/6/23 0:00,2025/6/23 0:00,1______,071,HGH,PVG,2025/6/23 7:45,2025/6/23 8:53,2025/6/23 7:45,2025/6/23 8:53,32N,B6792,0, ,浙江, ,n,,,,,,,,0,调机,国内,天气原因,因浦东机场受雷雨天气影响，CA071返航杭州，航班调整。,拟制,方案,PEK-E-wangmeng-2025-06-23-0636,154210985
取消,2025/6/23 0:00,2025/6/23 0:00,1______,072,PVG,HGH,2025/6/23 6:20,2025/6/23 6:50,2025/6/23 6:20,2025/6/23 6:50,32N,B6792,0,浙江,浙江, ,n,0,,,0,,沪,DM N-5,0,调机,国内,天气原因,因浦东机场受雷雨天气影响，CA071返航杭州，试飞科目完成，后续航班取消，不补。,拟制,方案,PEK-E-wangmeng-2025-06-23-0703,154211230
取消,2025/6/23 0:00,2025/6/23 0:00,1______,073,PVG,PVG,2025/6/23 5:30,2025/6/23 6:20,2025/6/23 5:30,2025/6/23 6:20,32N,B6792,0,浙江,浙江, ,n,0,,,0,,沪,OW,0,试飞,国内,天气原因,因浦东机场受雷雨天气影响，CA071返航杭州，试飞科目完成，后续航班取消，不补。,拟制,方案,PEK-E-wangmeng-2025-06-23-0703,154211230
变更,2025/6/23 0:00,2025/6/23 0:00,1______,107,PEK,HKG,2025/6/23 18:15,2025/6/23 21:50,2025/6/23 18:15,2025/6/23 21:50,32A,B6385,0,本部,本部,本部,n,0,,"时刻,",0,,京,DM O-D,0,正班,地区,天气原因,因华东、华南航路雷雨流控，航班推时,拟制,方案,PEK-E-huozihe-2025-06-23-1040,154218627
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1107,PEK,BAV,2025/6/23 18:30,2025/6/23 19:45,2025/6/23 18:30,2025/6/23 19:45,AR7,B652N,0,本部,本部,本部,n,0,,"换飞机,",0,,京,DM B-3,0,正班,国内,工程机务,B652N   APCM监控有ECS：LEFT PITS FAIL 左侧PACK入口温度传感器故障，申请调整,拟制,方案,PEK-C-zhangshurui-2025-06-23-1021,154218099
变更,2025/6/23 0:00,2025/6/23 0:00,1______,1108,BAV,PEK,2025/6/23 20:25,2025/6/23 21:55,2025/6/23 20:25,2025/6/23 21:55,AR7,B652N,0,本部,本部,本部,n,0,,"换飞机,",0,,京,DM B-3,0,正班,国内,工程机务,B652N   APCM监控有ECS：LEFT PITS FAIL 左侧PACK入口温度传感器故障，申请调整,拟制,方案,PEK-C-zhangshurui-2025-06-23-1021,154218099
