"AIRPORT_RESTRICTION_ID","LATEST_VERSION","LAST_USER_ID","PRIORITY","COMMENTS","REMARKS","CATEGORY","CONTINUOUS_TIME_PERIOD","START_DATE","END_DATE","START_TIME_OF_DAY","END_TIME_OF_DAY","DISCONT_DAYS_OF_WEEK","CURFEW_AIRPORT_RST_TYPE","CONSTRAINT_TYPE","CONSTRAINT_VALUE","RESTRICTION_TYPE","AIRPORT_CODE","AIRPORT_TYPE","RESTRICTION_SCOPE","RESTRICTION_OWNER","AIRPORTS_GROUP_ID","CONSTRAINT_ID","SOURCE","REQUIRED","LAST_MODIFIED_TIME_STAMP"
"144446663","1","0","HIGH","西南分控W24航季运行建议","机场禁止夜航","OPSLIMIT","0","2024/10/27","2025/3/28","00:00","00:30","1234567","BOTH","","","AIRPORT_CURFEW","BPX","BOTH","GLOBAL","","","91160584","MM","0","2024/10/23 7:57:11"
"144446664","1","0","HIGH","西南分控W24航季运行建议","机场禁止夜航","OPSLIMIT","0","2024/10/27","2025/3/28","00:00","00:40","1234567","BOTH","","","AIRPORT_CURFEW","LZY","BOTH","GLOBAL","","","91160585","MM","0","2024/10/23 7:57:29"
"144446670","1","0","HIGH","西南分控W24航季运行建议","机场禁止夜航","OPSLIMIT","0","2024/10/26","2025/3/28","10:25","23:59","1234567","BOTH","","","AIRPORT_CURFEW","LZY","BOTH","GLOBAL","","","91160586","MM","0","2024/10/23 7:57:25"
"144446671","1","0","HIGH","西南分控W24航季运行建议","机场禁止夜航","OPSLIMIT","0","2024/10/27","2025/3/28","00:00","01:00","1234567","BOTH","","","AIRPORT_CURFEW","DDR","BOTH","GLOBAL","","","91160587","MM","0","2024/10/23 7:58:41"
"144446677","1","0","MEDIUM","西南分控W24航季运行建议","已进入夜航，须核实机组是否具备夜航资质","OPSLIMIT","0","2024/10/27","2025/3/28","00:00","00:10","1234567","BOTH","","","AIRPORT_CURFEW","JZH","BOTH","GLOBAL","","","91160592","MM","0","2024/10/23 7:55:42"
"144446678","1","0","MEDIUM","西南分控W24航季运行建议","已进入夜航，须核实机组是否具备夜航资质","OPSLIMIT","0","2024/10/26","2025/3/28","10:50","23:59","1234567","BOTH","","","AIRPORT_CURFEW","LXA","BOTH","GLOBAL","","","91160593","MM","0","2024/10/23 7:56:05"
"144446679","1","0","MEDIUM","西南分控W24航季运行建议","已进入夜航，须核实机组是否具备夜航资质","OPSLIMIT","0","2024/10/27","2025/3/28","00:00","00:50","1234567","BOTH","","","AIRPORT_CURFEW","LXA","BOTH","GLOBAL","","","91160594","MM","0","2024/10/23 7:56:10"
"144617585","0","0","MUST","","ZWWW 乌鲁木齐/地窝堡2410250200 -- 2501140630 0200-0630 EVERY TUE AND FRI
RWY07/25 关闭, 因道面维护, 可接受航班备降。","CURFEW","0","2024/10/24","2025/1/13","18:00","22:30","14","BOTH","","","AIRPORT_CURFEW","URC","BOTH","GLOBAL","","","91160621","MM","0","2024/10/28 2:26:20"
"144771077","1","0","MUST","宵禁：2300-0600","宵禁：2300-0600","CURFEW","0","2024/10/26","2025/3/28","15:00","22:00","1234567","BOTH","","","AIRPORT_CURFEW","TSA","BOTH","GLOBAL","","","91127823","MM","0","2024/10/31 2:33:26"
"144771941","0","0","MUST","","日本防卫省要求，札幌机场周1-4：仅1100-1600可以起降 周5的1100-周7的2300可以起降
周67：无限制","CURFEW","0","2024/10/27","2025/3/29","15:00","15:59","7","BOTH","","","AIRPORT_CURFEW","CTS","BOTH","GLOBAL","","","91127829","MM","0","2024/10/31 3:16:12"
