"FLIGHT_LEG_RESTRICTION_ID","LATEST_VERSION","LAST_USER_ID","PRIORITY","DEPARTURE_AIRPORT_CODE","ARRIVAL_AIRPORT_CODE","SECTOR_CARRIER_CODE","RESTRICTION_TYPE","CONTINUOUS_TIME_PERIOD","START_DATE","END_DATE","START_TIME","END_TIME","DAY_OF_WEEK","CATEGORY","REMARKS","COMMENTS","CARRIER_CODE","FLIGHT_NUMBER","OP_SUFFIX","RESTRICTION_SCOPE","RESTRICTION_OWNER","MATCH_BY_DATE","CONSTRAINT_ID","SOURCE","REQUIRED","LAST_MODIFIED_TIME_STAMP"
"144454047","1","0","HIGH","TFU","","CA","AIRCRAFT","1","2024/10/26","2025/3/29","16:00","15:59","1234567","OPSLIMIT","机务放行能力限制","","CA","0471"," ","GLOBAL","","DEPARTURE_DATE_TIME","91160611","MM","1","2024/12/26 3:09:51"
"144454084","1","0","HIGH","BKK","","CA","AIRCRAFT","1","2024/10/26","2025/3/29","16:00","15:59","1234567","OPSLIMIT","机务放行能力限制","","CA","0472"," ","GLOBAL","","DEPARTURE_DATE_TIME","91160612","MM","1","2024/12/26 3:10:25"
"90061836","3","0","MUST","PEK","","CA","AIRCRAFT","1","2019/7/5","2023/6/27","14:00","23:00","1234567","NOISELIMIT","香港民航处从2019年夏秋季开始，严禁噪音指数CHAPTER 3的飞机在22点至次日7点之间在香港机场运行。","香港民航处从2019年夏秋季开始，严禁噪音指数CHAPTER 3的飞机在22点至次日7点之间在香港机场运行。","CA","0107"," ","GLOBAL","","DEPARTURE_DATE_TIME","338","MM","0","2023/9/14 16:59:51"
"90061834","4","0","MUST","PEK","","CA","AIRCRAFT","0","2019/7/5","2023/6/26","14:00","23:00","1234567","NOISELIMIT","香港民航处从2019年夏秋季开始，严禁噪音指数CHAPTER 3的飞机在22点至次日7点之间在香港机场运行。","香港民航处从2019年夏秋季开始，严禁噪音指数CHAPTER 3的飞机在22点至次日7点之间在香港机场运行。","CA","0115"," ","GLOBAL","","DEPARTURE_DATE_TIME","339","MM","0","2023/9/14 16:59:51"
"90061835","5","0","MUST","HKG","","CA","AIRCRAFT","0","2019/7/5","2023/6/26","14:00","23:00","1234567","NOISELIMIT","香港民航处从2019年夏秋季开始，严禁噪音指数CHAPTER 3的飞机在22点至次日7点之间在香港机场运行。","香港民航处从2019年夏秋季开始，严禁噪音指数CHAPTER 3的飞机在22点至次日7点之间在香港机场运行。","CA","0116"," ","GLOBAL","","DEPARTURE_DATE_TIME","340","MM","0","2023/9/14 16:59:51"
"125870177","0","0","MUST","HKG","","CA","AIRCRAFT","1","2019/7/5","2023/6/27","14:00","23:00","1234567","NOISELIMIT","香港民航处从2019年夏秋季开始，严禁噪音指数CHAPTER 3的飞机在22点至次日7点之间在香港机场运行。","香港民航处从2019年夏秋季开始，严禁噪音指数CHAPTER 3的飞机在22点至次日7点之间在香港机场运行。","CA","0108"," ","GLOBAL","","DEPARTURE_DATE_TIME","341","MM","0","2023/9/14 16:59:51"
"134000249","0","0","MUST","CKG","","CA","AIRCRAFT","0","2024/1/3","2024/3/30","11:20","23:59","1234567","OPSLIMIT","因台湾地区空域部分时段关闭，若延误4小时以上，需通知总签评估影响情况","2024.1.5 明晓通知
","CA","0469"," ","GLOBAL","","DEPARTURE_DATE_TIME","90472451","MM","0","2024/1/5 2:06:30"
"134000250","1","0","MUST","TSA","","CA","AIRCRAFT","0","2024/1/3","2024/3/30","15:35","23:59","1234567","OPSLIMIT","因台湾地区空域部分时段关闭，若延误4小时以上，需通知总签评估影响情况","2024.1.5 明晓通知
","CA","0470"," ","GLOBAL","","DEPARTURE_DATE_TIME","90472452","MM","0","2024/1/5 2:06:52"
"99129262","3","0","MUST","HKG","","CA","AIRCRAFT","0","2020/5/18","2023/6/26","14:00","23:00","1234567","NOISELIMIT","香港民航处从2019年夏秋季开始，CA428香港-成都用V2500发动机飞机执行，严禁噪音指数CHAPTER 3的飞机在22点至次日7点之间在香港机场运行。","香港民航处从2019年夏秋季开始，CA428香港-成都用V2500发动机飞机执行，严禁噪音指数CHAPTER 3的飞机在22点至次日7点之间在香港机场运行。","CA","0428"," ","GLOBAL","","DEPARTURE_DATE_TIME","342","MM","0","2023/9/14 16:59:51"
"99129261","3","0","MUST","CTU","","CA","AIRCRAFT","0","2020/5/18","2023/6/26","14:00","23:00","1234567","NOISELIMIT","香港民航处从2019年夏秋季开始，CA427成都-香港用V2500发动机飞机执行，严禁噪音指数CHAPTER 3的飞机在22点至次日7点之间在香港机场运行。","香港民航处从2019年夏秋季开始，CA427成都-香港用V2500发动机飞机执行，严禁噪音指数CHAPTER 3的飞机在22点至次日7点之间在香港机场运行。","CA","0427"," ","GLOBAL","","DEPARTURE_DATE_TIME","344","MM","0","2023/9/14 16:59:51"
