"SECTOR_SPECIAL_REQUIREMENT_ID","LATEST_VERSION","LAST_USER_ID","REQUIREMENT_TYPE","PRIORITY","COMMENTS","REMARKS","CATEGORY","CONTINUOUS_TIME_PERIOD","START_DATE","END_DATE","START_TIME_OF_DAY","END_TIME_OF_DAY","DISCONT_DAYS_OF_WEEK","DEPARTURE_AIRPORT_CODE","ARRIVAL_AIRPORT_CODE","CARRIER_CODE","R_SCOPE","R_OWNER","CONSTRAINT_ID","SOURCE","LAST_MODIFIED_TIME_STAMP"
"144446256","0","0","AIRCRAFT","MEDIUM","A320-232执行兰州-库尔勒航线建议使用带鲨鳍小翼的飞机执行，因性能原因，参见《2024年冬春季航线机型匹配实施方案》。","2024年冬春季航线机型匹配实施方案","AIRCRAFTPERFORMANCE","1","2024/3/28","2025/3/29","00:00","15:59","1234567","LHW","KRL","CA","GLOBAL","","91160578","MM","2024/10/23 3:01:11"
"144208256","0","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/3/29","2080/7/1","00:00","23:59","1234567","BUD","PEK","CA","GLOBAL","","91127811","MM","2024/10/17 8:10:50"
"144208295","0","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/3/29","2080/7/1","00:00","23:59","1234567","MXP","PVG","CA","GLOBAL","","91127813","MM","2024/10/17 8:12:08"
"144208300","0","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/3/29","2080/7/1","00:00","23:59","1234567","PEK","WAW","CA","GLOBAL","","91127814","MM","2024/10/17 8:12:39"
"144446254","0","216246","AIRCRAFT","MEDIUM","B737-8执行北京首都-阿拉木图航线建议使用MTOW82.2吨的飞机执行，若无其他MTOW82.2吨合适运力时，根据业载情况协同总签、性能部门分析MTOW78吨的运力是否可执行。因性能原因，参见《2024年冬春季航线机型匹配实施方案》。","2024年冬春季航线机型匹配实施方案","AIRCRAFTPERFORMANCE","1","2023/10/28","2025/3/29","00:00","15:59","1234567","PEK","ALA","CA","GLOBAL","","91160576","MM","2024/10/23 2:56:43"
"144446255","0","216246","AIRCRAFT","MEDIUM","B737-8执行阿拉木图-北京首都航线建议使用MTOW82.2吨的飞机执行，若无其他MTOW82.2吨合适运力时，根据业载情况协同总签、性能部门分析MTOW78吨的运力是否可执行。因性能原因，参见《2024年冬春季航线机型匹配实施方案》。","2024年冬春季航线机型匹配实施方案","AIRCRAFTPERFORMANCE","1","2023/10/28","2025/3/29","00:00","15:59","1234567","ALA","PEK","CA","GLOBAL","","91160577","MM","2024/10/23 2:57:18"
"144208234","0","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/3/29","2080/7/1","00:00","23:59","1234567","MUC","PEK","CA","GLOBAL","","91127809","MM","2024/10/17 8:10:14"
"144208251","0","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/3/29","2080/7/1","00:00","23:59","1234567","WAW","PEK","CA","GLOBAL","","91127810","MM","2024/10/17 8:10:31"
"144208293","0","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/3/29","2080/7/1","00:00","23:59","1234567","MXP","PEK","CA","GLOBAL","","91127812","MM","2024/10/17 8:11:27"
"141040436","0","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/3/29","2080/7/1","00:00","23:59","1234567","PVG","SYD","CA","GLOBAL","","90900065","MM","2024/7/15 3:46:52"
"141040435","0","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/3/29","2080/7/1","00:00","23:59","1234567","PVG","MXP","CA","GLOBAL","","90900064","MM","2024/7/15 3:46:46"
"130971129","2","216246","AIRCRAFT","MEDIUM","A319-131执行南宁-杭州航线建议使用MTOW70吨的飞机执行，因性能原因，参见《2024年夏秋季航线机型匹配实施方案》。","2024年夏秋季航线机型匹配实施方案","AIRCRAFTPERFORMANCE","1","2023/10/28","2024/10/26","16:00","15:59","1234567","NNG","HGH","CA","GLOBAL","","90275898","MM","2024/3/28 0:50:01"
"141040746","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/3/29","2080/7/1","00:00","23:59","1234567","CGK","PEK","CA","GLOBAL","","90900080","MM","2024/9/6 6:49:25"
"141040747","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/3/29","2080/7/1","00:00","23:59","1234567","PEK","CGK","CA","GLOBAL","","90900081","MM","2024/9/6 6:49:06"
"544","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/10/1","2050/7/1","16:00","23:59","1234567","DMM","PEK","CA","GLOBAL","","944","MM","2024/8/21 8:19:30"
"545","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","DMM","TAO","CA","GLOBAL","","945","MM","2024/8/21 8:19:38"
"546","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/5/2","2050/7/1","16:00","23:59","1234567","DMM","CGO","CA","GLOBAL","","946","MM","2024/8/21 8:19:45"
"548","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","DUS","PEK","CA","GLOBAL","","948","MM","2024/8/21 8:19:53"
"549","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/3/21","2050/7/1","00:00","23:59","1234567","DXB","PVG","CA","GLOBAL","","949","MM","2024/8/21 8:20:00"
"550","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","DXB","HGH","CA","GLOBAL","","950","MM","2024/8/21 8:20:09"
"551","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","DXB","PEK","CA","GLOBAL","","951","MM","2024/8/21 8:20:16"
"552","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","DXB","CKG","CA","GLOBAL","","952","MM","2024/8/21 8:20:24"
"141040429","0","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2020/3/29","2080/7/1","00:00","23:59","1234567","MLE","CMB","CA","GLOBAL","","90900058","MM","2024/7/15 3:45:40"
"553","1","216246","AIRCRAFT","MUST"," 此航线为延伸跨水运行","","WATERCROSS","1","2019/10/27","2050/7/1","00:00","23:59","1234567","DXB","HHA","CA","GLOBAL","","953","MM","2024/8/21 8:20:31"
